MolecularWeight,i.ProteinGroups,i.ProteinDescriptions,i.ProteinNames,Genes,X83.6,Control1,Control2,X56.1,X56.2,X69.1,X82.1,X82.2,X05.1,X05.2,X05.3,X29.1,X29.2,X29.3,X11.1,X11.2,X11.3,X11.5,X11.6,X21.1,X21.3,X68.1,X81.1,X81.2,X03.2,X03.3,X45.2,X47.1,X47.2,X47.3,X12.1,X12.6,X48.3,X67.1,X67.2,LK83.1,LK83.2,LK83.3,LK83.4,LK83.5,X80.1,X80.2,X80.3,X28.3,X28.4,X51.1,X49.1,X49.2,X49.3,X1.1,X1.2,X1.3,X28.1,X28.2,X10.1,X10.2,X10.4,X50.3,X50.2,X10.5,X10.6,X43.1,X43.3,X27.3,X43.2,X46.1,X46.2,X76.1,X76.2,X4.1,X4.2,X4.3,X25.1,X27.1,X27.2,X13.2,X13.3,X13.4,X13.5,X55.1,X55.2,X61.2,X61.1,X40.1,X40.2,X40.3,X72.1,X72.2,f1,X30.1,X30.2,X41.1,X41.2,X19.2,X19.5,X71.1,X71.2,X71.4
85973.67,M0R965;Q3B8Q1,Uncharacterized protein;Nucleolar RNA helicase 2,M0R965_RAT;DDX21_RAT,;Ddx21,0.177937389,0.185853402,0.165156481,0.207825635,0.158145293,0.211912232,0.166506432,0.21604375,0.147215514,0.162620922,0.104617616,0.113212356,0.175335438,0.180587495,0.193858017,0.189953431,0.169791158,0.19781657,0.17976891,0.163618736,0.142468368,2.779883722,0.191145866,0.183336445,0.156339339,0.148944252,0.197021312,0.199674516,0.158299388,0.192248733,0.220236783,0.169841644,0.149045067,0.220604058,0.182060123,0.140526159,0.211170296,0.21102736,0.167053852,0.212194454,0,0.171803244,0.246303309,0.267602731,0.135952852,0.163336055,0.168221245,0.231723582,0.200930202,0.196743904,0.213251955,0.229532946,0.238058798,0.205889665,0.280866585,0.203782543,0.172498108,0.218239183,0.21690583,0.159100995,0.182974485,0.142377327,0.091154717,0.179535806,0.170413022,0.173259868,0.203670839,0.306588025,0.426716749,0.523060421,0.614424877,0.479190394,0.761231084,0.59055872,0.51553809,0.58526604,0.530867417,0.454447204,0.553401085,0.386274723,0.555621287,0.42525625,0.324992651,0.619004662,0.181769456,0.127236594,0.130461064,0.123068498,0.651234716,0.428940427,0.290061863,0.624329625,0.843613446,0.281402708,0.268009568,0.441838653,0.457825076,0.488857656
20509.32,D4A6V3;P70583,Uncharacterized protein;Deoxyuridine 5'-triphosphate nucleotidohydrolase,D4A6V3_RAT;DUT_RAT,;Dut,2.726973257,2.844972698,2.755325897,3.162185093,3.093126629,2.572144713,3.159062432,2.710359529,2.479252295,2.753768988,2.336266978,2.45023255,2.6443891,2.768314606,2.440685084,2.641680451,2.185060502,2.622882608,2.877623398,2.373560813,2.869244869,4.535132864,3.26673846,2.701889897,2.728953505,2.557605992,2.6567194,2.488174413,3.209040643,2.420246589,2.705246734,2.790505685,2.677547847,2.652192931,2.540727601,2.476779176,2.35010772,2.017934776,2.353300101,2.315203516,1.501986999,2.532870189,2.091912374,2.290004953,2.248974112,2.242550485,2.08919577,2.476583154,1.896091069,2.09293323,2.522665709,2.291141628,2.242057595,1.67046668,2.947707755,2.658741405,2.351224039,2.185222341,2.313705514,2.448033607,2.53878506,2.085117203,1.5741216,2.131935834,2.426506364,2.384639482,2.15821259,2.345438996,3.014687506,2.224367231,1.895199358,2.617705413,2.845278571,2.396487257,2.434834833,2.100534417,2.871797457,2.180479113,1.808045267,2.507402373,3.127741896,2.567412728,2.329891006,3.075790029,2.529179454,2.745036587,2.325059082,2.324058262,2.740546749,2.86629079,2.510259892,2.495071233,3.854034239,2.165066353,1.8438668,2.501571739,2.606361073,2.665496319
47101.335,M0R5J4;P04764,Uncharacterized protein;Alpha-enolase,M0R5J4_RAT;ENOA_RAT,;Eno1,130.1359799,129.2533837,132.5535608,128.7559534,108.6321045,107.4462188,117.6888937,117.8286113,105.6177857,99.75919977,101.0137861,104.4288569,104.1361844,105.6517535,106.7869661,112.5027092,112.2845992,100.3038822,117.0781775,114.9451576,115.9380518,12.4936765,120.158261,111.9637364,111.5706485,112.7315611,104.9763372,118.0466389,121.7532231,125.3841252,112.0322638,118.9333963,112.2694922,113.2249886,120.9417485,104.6406162,112.3013149,108.9843174,99.62807281,108.6250168,132.5391594,117.9730524,124.6007786,111.932084,115.9492334,123.8469252,86.74798622,116.157697,111.3293058,98.83062474,102.4227407,90.43206327,115.7680431,87.22941329,119.103986,110.5968135,106.8663155,104.5283736,105.7838115,111.4680528,107.8773919,105.9345725,104.8134837,101.0100397,122.1767578,105.0716265,104.7604737,113.3363833,112.2724615,88.09233238,85.07144021,117.9272074,95.13470569,71.33209306,102.8428091,95.20121385,97.27927298,102.6020748,93.5011257,101.4943567,109.6723973,105.3937701,91.91697083,116.4146007,108.1898129,101.938601,122.2162269,112.5606459,104.9370618,91.40879392,103.7303648,116.4178562,85.69487515,99.74144677,94.72119983,114.5110814,105.5797055,83.8543326
19832.235,A0A0G2KAE4;Q63042,Sulfhydryl oxidase;FAD-linked sulfhydryl oxidase ALR,A0A0G2KAE4_RAT;ALR_RAT,;Gfer,0,0.95921081,1.097224095,1.118563329,0.93263222,1.084398422,1.460994691,1.153271856,1.055305982,1.024337622,1.06862274,1.153774955,1.155813172,1.300838334,0,1.282648086,1.241337742,1.242200992,1.27018897,1.06092321,1.312172852,3.114942273,1.317435452,1.116305628,0,1.157867133,1.259872918,1.245881587,1.530716918,1.261673012,0,1.476233624,1.431801544,0,1.464800023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.878572527,0.50519267,0,0,0.796476621,0,0,0,0,0,0,0,0,0,0,0,0.835786568,0,0,0.710823583,0,0.926719924,0.761344093,0.85751443,0,0,0.885414572,0.779603853,0,0.919620242,0,0.842327836,0,0.932122209,0.743944941,0,0,0.899694257,0,0,0.624123985,0
7252.875,F2Z3T8;P63219,Guanine nucleotide-binding protein subunit gamma;Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5,F2Z3T8_RAT;GBG5_RAT,;Gng5,12.26751693,5.530245625,5.857683342,0,4.236919262,9.327266711,5.67057205,6.789173098,4.881265653,4.185166809,5.648061475,0,6.265905107,5.252095934,7.868257423,8.477272257,6.478618164,5.172918237,7.608248187,6.067848814,5.742169769,4.394572282,6.58851513,5.141399961,7.586752005,4.768708436,6.04246965,5.278964195,5.794552666,7.624077573,6.408225462,4.390646367,5.224023679,5.269246044,4.212044393,0,3.443331396,0,3.126640432,0,0,1.435139014,1.740752516,2.867913367,2.669988375,3.127574162,3.168713816,0,4.856777352,2.312121814,1.503771366,0,1.632323431,4.33604017,1.671911484,0,3.336371778,3.324464056,0,3.90355308,3.29656694,1.950554135,0,2.349638961,1.67403732,0,2.088265921,0,2.338741962,1.586543564,4.155550475,2.124378244,4.807696935,3.274343122,0,4.460864482,3.892457789,6.142287458,5.043648617,5.030822046,1.406595593,0,5.159758161,5.643132625,0,3.51561612,3.375853593,3.859158669,7.091199381,3.981323127,4.076262987,6.839819747,9.691846241,5.967341512,6.602949375,5.604479033,6.672097031,2.979798074
14086.465,P02262;P0CC09,Histone H2A type 1;Histone H2A type 2-A,H2A1_RAT;H2A2A_RAT,;Hist2h2aa3,310.4782994,207.1173533,197.7635837,201.3787521,192.1797204,282.0344981,178.708243,194.7789842,169.2149096,188.3519303,154.8907102,151.6520047,191.8191711,180.834819,195.5818555,197.2824223,206.4400576,152.5186864,183.797579,399.5926943,407.2342123,5.297215114,195.0244742,198.7435087,190.1381865,183.3209857,185.1771722,197.3190423,234.1981723,200.9603303,213.2473849,185.6792752,198.3951366,209.8058532,187.5337986,466.2552701,513.4780407,456.9481065,534.1756488,365.0683058,638.0890785,337.7249029,332.5652252,385.0055978,389.661172,534.8092319,503.1502265,341.9948066,508.4711798,485.3986674,397.560217,385.3371945,375.7194085,461.2545212,388.8165464,355.8375331,303.8908809,442.5948588,439.1830524,445.1547029,382.6645483,384.1894076,459.1529244,527.784981,508.1107432,511.3459531,588.9985192,406.896098,553.4807847,454.1078809,653.6082416,432.7817483,702.9641593,624.0387822,473.0794472,525.6284069,483.976893,603.0040209,654.0941485,533.3297793,487.0202353,459.3561421,505.0090577,567.0360029,441.7368241,393.0051352,369.2412497,374.2426439,493.0956742,583.3260881,420.0078006,593.3170957,600.3223435,786.5485468,733.6786675,551.1667433,576.7283571,673.2071515
30190.13333,D3ZPL5;D3ZU22;P62425,Uncharacterized protein;60S ribosomal protein L7a-like;60S ribosomal protein L7a,D3ZPL5_RAT;D3ZU22_RAT;RL7A_RAT,;LOC108349606;Rpl7a,1.35784887,0.910877846,0.8322627,0.989422056,0.830043061,3.657635307,0.904582093,0.832839358,1.843696946,1.575024353,1.39470332,1.33774094,1.509003203,1.291647484,1.356907245,0.79692411,1.885022931,1.484421776,1.078457823,8.013199946,8.191121028,5.022604585,1.124426641,1.19451656,1.324364951,2.021890664,1.031835403,1.298091593,2.0840905,1.386128903,0.994690349,1.202739585,1.163695353,1.416052152,1.324204962,7.956238161,7.400062502,7.463067588,8.393006802,4.818049402,0,1.669533093,1.628301818,4.725889027,4.410957202,7.073662474,6.586303039,1.933776078,7.709682858,8.357994996,5.551598235,4.111787193,1.941246931,6.765071501,3.092745573,2.105227508,1.644521389,4.754475536,4.790128736,4.396667067,4.146690019,2.190807799,5.592984903,6.589090301,7.240297308,8.97473795,9.523274896,2.765224223,5.434030337,6.965143994,9.712591944,4.812400389,14.73009586,12.38048544,8.865713379,8.298318266,6.853064662,12.92763873,13.05970481,8.194942069,2.976955563,3.133632423,9.375372687,6.612678806,4.190027437,3.358593766,3.592743009,3.269852142,5.184764161,7.197156507,4.119737608,6.131825849,5.926495755,13.40304697,13.18496404,6.583157853,4.535953998,6.258667851
16910.85,A0A0G2QC62;F1LYI5;M0R665;P25886,60S ribosomal protein L29,A0A0G2QC62_RAT;F1LYI5_RAT;M0R665_RAT;RL29_RAT,;RGD1564138;;Rpl29,1.188919136,0.242770182,0.215514796,0.283287312,0.150604939,1.194047746,0.266591974,0.133549922,0.992680271,1.569020376,0.749740389,0.384160172,0.913949909,0.447953309,0.44842541,1.005957201,1.001883007,0.965643773,1.109296875,3.187780015,3.427083655,0.74382461,0.244765912,0.443926166,0.512886696,0.981266063,0.798936447,0.72684885,0.935314419,0.760456397,0.305235919,0.826822164,0.747019075,0.59538042,1.111746488,1.621000529,1.42343148,1.129085444,1.809801129,0.910454855,0,0.418631048,0.329010292,0.765500127,0.763986491,1.151786248,0.996482999,0.389021825,1.083065198,1.068626461,0.905505478,0.671786222,0.530387982,0.713324622,0.402185365,0.572548392,0.591460929,1.127756178,0.795321631,0.694977518,0.625934643,0.964045895,1.291423298,0.71693603,1.347899248,1.841227533,1.971705329,1.098595597,1.128359938,1.303963001,1.135907664,0.815429584,2.628818841,2.389054556,1.443722829,1.222037898,0.839371022,3.545871045,3.22737763,1.802542862,0.629909152,0.915793041,1.433162061,1.354935223,0.697726983,0.881120444,0.684197508,0.529115865,1.214222252,1.325444802,0.845281884,1.027084957,1.225975076,3.035529179,3.549123078,1.428805431,1.03219051,1.809166109
12588.285,D3ZZN4;P04646,Uncharacterized protein;60S ribosomal protein L35a,D3ZZN4_RAT;RL35A_RAT,;Rpl35a,10.72107626,7.200101489,6.11833432,6.187782251,5.313523165,10.93246683,5.621519242,5.344892968,6.147855361,6.947863513,5.312731128,4.611450282,6.755323081,5.469113934,5.444748364,5.067315017,7.19792914,6.729719483,5.020733183,24.3016023,24.12303643,1.005636914,6.02677468,6.086818788,6.545557811,8.841658298,6.556662895,6.714033617,9.45288885,6.467112871,5.582623953,5.101057467,6.61445499,7.845230225,6.258283398,27.46146986,26.25527407,24.95734851,28.17722752,20.36587942,0,5.628592514,11.76658787,18.02061611,16.24839887,21.75910912,22.59711043,10.2612422,21.40949124,22.57719973,16.96870877,14.81349166,11.98092348,16.68391514,14.98612003,11.45551421,4.91118266,18.91829104,18.19688373,14.77968722,13.79988319,13.67190266,18.31925453,22.24697189,25.13589542,28.95578849,29.92364234,14.80545288,12.58856633,29.64006319,34.17381318,22.62978071,49.32697645,40.01870816,32.3640626,31.18685626,25.43377797,41.29692325,41.9000513,27.88404977,20.31075404,14.64745767,28.10109629,25.07951185,8.821559949,12.93419857,13.41218855,12.33167402,23.24158083,25.46568158,17.0552129,24.66359612,29.0002653,37.52545444,34.42156679,23.28630817,22.74970381,29.36596826
65619.84,Q923K9,APOBEC1 complementation factor,A1CF_RAT,A1cf,0.342700233,0.318732336,0.387694023,0.343332629,0.305096237,0.319794941,0.370945059,0.346778058,0.345815301,0.404134635,0.367193254,0.303403099,0.374886637,0.377312631,0.377495653,0.381057323,0.387066601,0.417863493,0.42774281,0.434343065,0.348460268,1.507295558,0.347426423,0.35725337,0.3948032,0.414431863,0.387772224,0.370921412,0.384025935,0.356005999,0.375000307,0.341643524,0.373606696,0.408721486,0.356096712,0.396062098,0.481450583,0.398658424,0.365473106,0.477868751,0.658663868,0.431407071,0.461423031,0.377866838,0.452089495,0.352335071,0.406390601,0.47163292,0.331946026,0.342002182,0.431636732,0.339576099,0.349292137,0.21023804,0.45786655,0.480027697,0.400543608,0.370993936,0.424625392,0.396039941,0.413532751,0.585258799,0.317228219,0.40374438,0.52445278,0.485602433,0.518412165,0.352801308,0.406165269,0.213743748,0.13360613,0.287702062,0.259679847,0.214166719,0.262685802,0.201399643,0.32575305,0.378155306,0.287769221,0.261762819,0.282856917,0.286981781,0.402891518,0.315046549,0.348960972,0.432670155,0.441778127,0.389492435,0.243613397,0.227245731,0.363664483,0.377882186,0.201713892,0.376814513,0.417466808,0.355747381,0.327456142,0.116270739
